poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Education,0.5556414646352235,-0.006646710126581491,0.04516763690357484,0.1133009969039294,0.12179102006047322,0.39981016348982934,-386.84024436050476,120
Public Transportation,0.36494384027875554,0.00013804806394695127,0.007446623103228421,0.03959535143114565,0.04028926647792814,0.3829771352824275,8.034432941067491,120
Restaurant,0.3437267340937055,-0.005045060963749765,0.009553220163748535,0.036954587544584874,0.037834546593814064,0.35918141541883175,-289.06662621943116,130
Store,0.34503249558958365,0.0017452934742871518,0.010232089721206494,0.04501387553225915,0.04612915131654981,0.3666206514566579,100.0,130
Education,0.5674848357217989,-0.006274951281724945,0.04741871140346563,0.11472407422383826,0.1239789191116534,0.4005887563124266,-359.5355952549979,130
Public Transportation,0.36480970250945893,0.00010639381962899693,0.00754159020642754,0.039472065737238854,0.04018592087736368,0.3806599283943126,6.096041794486881,130
Restaurant,0.34050838220284074,-0.004836742055889347,0.009277478788000568,0.036541079826085156,0.03738887607033567,0.35485867434838414,-275.6797636674965,140
Store,0.3421441084686196,0.0017544784541106359,0.009977349306503989,0.04430578795806253,0.045381407548938546,0.362825446467235,100.0,140
Education,0.5737793842780411,-0.006179078768997977,0.05023001242146515,0.11766891081676838,0.12779219736052608,0.4015571297111619,-352.18892284033313,140
Public Transportation,0.3652091448087766,8.421699543069281e-05,0.007642061174712751,0.039387012030754835,0.04012144966481843,0.37857721143102574,4.800115683004116,140
Restaurant,0.3375227703993331,-0.0046334106994720976,0.009030891046880329,0.03615465403990313,0.03697631008004618,0.35080128064143346,-257.51653460919493,150
Store,0.3393311807793051,0.0017992672612279926,0.009744233294449676,0.04355680352676292,0.04459717315355719,0.35922438844285964,100.0,150
Education,0.5770580984087503,-0.006327381901582833,0.052629281168453806,0.12108559228225502,0.13187693556086363,0.40280904827980135,-351.6643712654684,150
Public Transportation,0.3657338840943561,6.697284314726423e-05,0.007736103423828542,0.03933426167306123,0.04008774067202224,0.3766718428888975,3.7222287422467484,150
Restaurant,0.3347784856393962,-0.004424191736471411,0.008806809178911721,0.03580120773673038,0.03660208861255359,0.34697656433218443,-237.50290759129547,160
Store,0.3365132045617096,0.001862794768005425,0.009503108702803789,0.04280472542629621,0.043807346295914866,0.3557937423155703,100.0,160
Education,0.5796776380151143,-0.0064940317984675654,0.05481624432921291,0.12469441320351861,0.13605640329484792,0.4044790001960272,-348.6176743679072,160
Public Transportation,0.3661788576260396,5.3411599018153264e-05,0.00781707649157396,0.039311220344674845,0.040080866720466346,0.37490519138076533,2.867283070337554,160
Restaurant,0.3322423627330934,-0.004213977269079386,0.008612044087348164,0.035491396240313944,0.0362773883572823,0.3433571984125015,-216.2963327780334,170
Store,0.33393426496169704,0.0019482425868975939,0.009238697934251148,0.042065054584426886,0.043023559912375324,0.3525219188811832,100.0,170
Education,0.5824110170640439,-0.00663990912118192,0.05695149660846651,0.128377592587146,0.1402861035572585,0.40654143542295584,-340.81531559965515,170
Public Transportation,0.36647440179134716,4.135720276769184e-05,0.007882981090519051,0.03930758999548933,0.040090227134661545,0.37325263589833363,2.1227953359519556,170
Restaurant,0.32989139846694443,-0.004052190128011948,0.008400639486665883,0.03508462008547474,0.035848027358468,0.3399202316492442,-200.7161378298991,180
Store,0.3318526967355916,0.0020188661319530056,0.009014501461029101,0.04138945010551752,0.04231160592756168,0.34939596081861446,100.0,180
Education,0.5849369817760388,-0.006795822759505488,0.058912047501267564,0.13185403440079516,0.1442564817315987,0.40888185740487043,-336.61581874828727,180
Public Transportation,0.366628467573575,3.1150701409510075e-05,0.007934831549087135,0.03932092770936482,0.04011353807969679,0.3716987581034785,1.5429800379768412,180
Restaurant,0.32773821981739454,-0.003940569598081445,0.008184177944414487,0.034624278033736994,0.035359486834879814,0.3366474730744643,-192.77698572500483,190
Store,0.33026886045933446,0.0020441079018128456,0.00881304057592738,0.040862369042828035,0.04175194020486904,0.34639671034825026,100.0,190
Education,0.586785576650467,-0.006982698985630651,0.06084538455660864,0.13491414675742325,0.14783514376494244,0.4114142650972745,-341.6012911763585,190
Public Transportation,0.3666698128830542,2.3178734194169772e-05,0.008002899741464137,0.03934350657966883,0.04014918899557812,0.3702306857885647,1.1339290931566472,190
Restaurant,0.32573493772453405,-0.0038537763946467217,0.00801943018538614,0.03436676121687066,0.0350789672672351,0.3335236614824417,-189.51316354546594,200
Store,0.3289106162845949,0.0020335138322579716,0.008607593309623789,0.04031057676762155,0.04116913994020529,0.34350351095799625,100.0,200
Education,0.5882706055138605,-0.007195701373491993,0.06226380928142588,0.13782090719005,0.1510615976569349,0.4140934057336059,-353.85554105142404,200
Public Transportation,0.366624431148426,1.7260609482021568e-05,0.008069150614867142,0.03937774053147903,0.04019598665390933,0.3688381489296237,0.8488070849685712,200
Restaurant,0.3238056428866527,-0.0037690606829738783,0.00788434437787337,0.03411094342732737,0.03480680291752307,0.33053568878635,-190.03371417129938,210
Store,0.327327799834616,0.0019833642148236854,0.00832705907402375,0.03959040490540944,0.040407998463025924,0.3407054147226853,100.0,210
Education,0.5901327599585272,-0.007405302138279908,0.0639284434699821,0.14066735150298199,0.1543350613554774,0.41686038944441123,-373.37076483142135,210
Public Transportation,0.36651018600533386,1.3080755738182004e-05,0.008126635847615913,0.039424170156547825,0.0402530400296179,0.36751367211674885,0.6595236336531786,210
Restaurant,0.3219245483857587,-0.0036813067610272105,0.007750744048118746,0.03385697245709718,0.03453717703853777,0.3276724170300627,-184.82319434180982,220
Store,0.3257951881038107,0.0019917991213911418,0.008090889637988572,0.038899299250054295,0.0396818688261958,0.33800054365811755,100.0,220
Education,0.591927935978618,-0.007615221163469468,0.06554493119564299,0.14341409026546242,0.15749840538476323,0.41962752117383817,-382.328774106032,220
Public Transportation,0.3663431391554156,1.070909127631227e-05,0.008176621174369564,0.03948187103324285,0.04031966219389906,0.36625133053370323,0.5376592027429287,220
Restaurant,0.32010155037177634,-0.0035954476408040894,0.007621565368741746,0.03361195767878112,0.03427717482425313,0.3249248138150271,-176.81242694630862,230
Store,0.32446897905707456,0.002033481301569314,0.00792396126467588,0.038405659809363675,0.0391618286257527,0.3353840355918977,100.0,230
Education,0.5933144884405479,-0.007821914439822712,0.06689661341762736,0.14598095545786746,0.1603883221984551,0.42235028623803783,-384.65632478578715,230
Public Transportation,0.36613638177821883,9.975992859605834e-06,0.00822023956412455,0.03955008289969199,0.0403953128016565,0.3650453430212726,0.4905868990241998,230
Restaurant,0.3183592573620855,-0.0035138751908319905,0.007497727765769403,0.03337505440314446,0.03402591452416374,0.32228524495021954,-169.9769091276343,240
Store,0.32326606971584615,0.002067266200371634,0.0077704003082613654,0.03805928697768027,0.03878936525204881,0.3328479171738976,100.0,240
Education,0.5947246082127575,-0.008022109031063929,0.06817571145471575,0.1483662300672863,0.16308314328412152,0.42501540867976834,-388.0539927379351,240
Public Transportation,0.36590074718224797,1.0523306643128982e-05,0.008258733817172906,0.039627658839733126,0.0404791047163992,0.3638897247531576,0.5090445846421326,240
Restaurant,0.3166930054402592,-0.003435483672014418,0.007378119210576023,0.033143903322726966,0.03378094762571152,0.31974659047101,-165.82174554719302,250
Store,0.322182004397218,0.002071793214260114,0.00761595006422011,0.03774584221523195,0.038450734359635134,0.3303853135511972,100.0,250
Education,0.5961612058376689,-0.008216584474718226,0.06939909672515128,0.15056248524096372,0.16558316438506707,0.4276050552486076,-396.59288476106724,250
Public Transportation,0.36564657766308184,1.2473932285964608e-05,0.008292870460429118,0.03971418709171119,0.04057078014076031,0.3627792046844358,0.602083846983703,250
